SA3_CODE21,fire_count,area_km2,fire_density
70203,34534.0,112378.29526161095,307.3
70204,7190.0,33578.206376505295,214.1
70205,52645.0,326179.8155185099,161.4
79797,,,
79999,,,
80101,,112.76989678099932,
80103,,215.86170566046695,
80104,,96.93995491655468,
80105,,38.14825194021492,
80106,,43.10893683220813,
80107,2.0,172.67781957575352,11.6
80108,,17.71352554353085,
80109,,25.377720426978552,
80110,,25.75397714844187,
80111,1245.0,1618.875696544168,769.1
89797,,,
89999,,,
90101,,154.57825112485932,
90102,,2.1744231791309816,
90103,,77.09308656732755,
90104,,32.92588146546272,
99797,,,
99999,,,
ZZZZZ,,,
